"ID","Role","SystemID","timestamp"
2032,"Η πρώτη του επαγγελματική του εμφάνιση ήταν στο έργο του Ζ. Φεϋντώ Ράφτης Κυριών (στο ρόλο του υπηρέτη Ετιέν), το 1994. Ακολούθησαν οι θεατρικές παρασ",2,2021-06-08 19:13:33.000
2033,"Η πρώτη του επαγγελματική του εμφάνιση ήταν στο έργο του Ζ. Φεϋντώ Ράφτης Κυριών (στο ρόλο του υπηρέτη Ετιέν), το 1994. Ακολούθησαν οι θεατρικές παρασ",2,2021-06-09 14:22:27.000
2034,Ορτανσία,2,2021-06-15 14:30:05.000
2035,Υάκινθος,2,2021-06-15 14:30:05.000
2036,Άγγελος Αγγέλου,2,2021-06-15 14:30:06.000
2037,Συντονισμός Project - Σκηνοθεσία,2,2021-06-15 15:14:41.000
2038,Art Director – Μουσική – Video Designer - Φωτογραφίες,2,2021-06-15 15:14:42.000
2039,Χορογράφος,2,2021-06-15 15:14:43.000
2040,Περφόρμερ,2,2021-06-15 15:14:44.000
2041,Voice-over,2,2021-06-15 15:14:47.000
2042,Διαχείριση Project,2,2021-06-15 15:14:48.000
2043,Graphic Designer,2,2021-06-15 15:14:50.000
2044,Δημόσιες Σχέσεις – Επικοινωνία,2,2021-06-15 15:14:51.000
2045,Κείμενο - Σκηνοθεσία,2,2021-06-15 15:15:40.000
2046,Καλλιτεχνική Διεύθυνση | Παραγωγή,2,2021-06-15 15:16:24.000
2047,Διασκευή | Σκηνοθεσία | Κίνηση,2,2021-06-15 15:16:25.000
2048,Κατασκευή πιάνο,2,2021-06-15 15:16:27.000
2049,Ήχος | Φώτα,2,2021-06-15 15:16:28.000
2050,Trailer,2,2021-06-15 15:16:29.000
2051,Graphic design,2,2021-06-15 15:16:30.000
2052,Social Media,2,2021-06-15 15:16:31.000
2053,Μετάφραση,2,2023-09-25 13:21:50.000
2054,Σκηνοθεσία,2,2021-06-15 15:16:45.000
2055,Μουσική,2,2021-06-15 15:16:46.000
2056,Κίνηση,2,2021-06-15 15:16:47.000
2057,Σκηνικά,2,2021-06-15 15:16:48.000
2058,Ενδύματα,2,2021-06-15 15:16:49.000
2059,Sound Design,2,2021-06-15 15:16:49.000
2060,Βοηθός Σκηνοθέτη,2,2021-06-15 15:16:50.000
2061,Φωτογραφίες promo,2,2021-06-15 15:16:51.000
2062,Μακιγιάζ/Κομμώσεις,2,2021-06-15 15:16:52.000
2063,Στίχοι του χορικού του έρωτα,2,2021-06-15 15:16:53.000
3209,Διεύθυνση,3,2023-02-20 16:57:47.000
2064,Υπεύθυνοι Επικοινωνίας,2,2021-06-15 15:16:54.000
2065,Διεύθυνση Παραγωγής,2,2021-06-15 15:16:55.000
2066,Σκηνοθεσία-Θεατρική διασκευή,2,2021-06-15 15:18:13.000
2067,Σκηνικά Κοστούμια,2,2021-06-15 15:18:14.000
